gender,math score,reading score,writing score,race/ethnicity_group A,race/ethnicity_group B,race/ethnicity_group C,race/ethnicity_group D,race/ethnicity_group E,parental level of education_associate's degree,parental level of education_bachelor's degree,parental level of education_high school,parental level of education_master's degree,parental level of education_some college,parental level of education_some high school,lunch_free/reduced,lunch_standard,test preparation course_completed,test preparation course_none
True,72,72,74,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1
True,69,90,88,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0
True,90,95,93,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1
False,47,57,44,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1
False,76,78,75,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1
True,71,83,78,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1
True,88,95,92,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0
False,40,43,39,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1
False,64,64,67,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0
True,38,60,50,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1
False,58,54,52,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1
False,40,52,43,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1
True,65,81,73,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1
False,78,72,70,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0
True,50,53,58,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1
True,69,75,78,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1
False,88,89,86,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1
True,18,32,28,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1
False,46,42,46,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0
True,54,58,61,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1
False,66,69,63,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1
True,65,75,70,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0
False,44,54,53,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1
True,69,73,73,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1
False,74,71,80,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0
False,73,74,72,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1
False,69,54,55,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1
True,67,69,75,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1
False,70,70,65,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1
True,62,70,75,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1
True,69,74,74,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1
True,63,65,61,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1
True,56,72,65,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
False,40,42,38,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1
False,97,87,82,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
False,81,81,79,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0
True,74,81,83,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1
