release_year,duration,type_Movie,rating_G,rating_NC-17,rating_NR,rating_PG,rating_PG-13,rating_R,rating_TV-14,rating_TV-G,rating_TV-MA,rating_TV-PG,rating_TV-Y,rating_TV-Y7,rating_TV-Y7-FV,rating_UR,director_en,country_en,listed_in_en
2019,90,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"[1939, 2412]","[8, 57, 133, 143]","[17, 25]"
2016,94,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,[0],[19],[22]
2017,99,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,[282],[57],[24]
2014,110,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,[1913],"[30, 35, 60, 115]","[26, 28, 30]"
2017,60,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"[2474, 2790]",[75],[22]
2014,90,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,[1320],"[20, 57, 140, 163]","[7, 26]"
2017,78,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,[2162],[0],[22]
2015,95,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,[3186],"[105, 115, 137, 140]","[7, 12, 16]"
2009,58,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,[0],[0],[25]
2013,62,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"[1199, 2958]",[0],[25]
2016,65,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"[1199, 2958]",[0],[25]
2012,61,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,[380],[0],[25]
2017,65,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,[380],[0],[25]
2010,58,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,[0],[0],[25]
2013,60,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"[1199, 2958]",[0],[25]
2015,135,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,[3072],"[27, 137]","[11, 16, 20]"
2014,98,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,[305],[57],"[2, 11, 24]"
2015,96,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,[275],"[27, 137]","[7, 12, 17]"
2015,79,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,[2915],"[57, 129]",[23]
2014,113,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,[1972],[57],"[21, 26]"
2015,90,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,[2911],[57],"[11, 33]"
2015,80,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,[2692],[57],"[2, 11, 33]"
2018,77,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,[145],"[1, 57]",[23]
2011,112,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,[2192],[17],"[12, 21]"
2018,106,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"[1752, 2056]","[60, 115, 149]","[17, 25, 28]"
2018,106,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,[3275],[57],"[2, 24]"
2018,102,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,[2257],"[68, 115, 140]","[12, 26, 33]"
2016,114,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,[1870],"[37, 68]","[11, 12, 33]"
2019,125,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,[983],[34],"[12, 26, 33]"
2018,142,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,[168],[0],"[11, 16, 24]"
2018,133,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,[433],[34],"[12, 24]"
2019,100,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,[614],[0],"[2, 12, 24]"
2015,86,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"[1342, 2961]",[57],"[7, 11, 17]"
2014,146,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,[2494],[34],"[12, 16, 24]"
2015,79,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"[643, 2640]",[19],"[11, 33]"
2015,102,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,[2504],[19],[23]
2019,10,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,[0],[0],[23]
