type,release_year,rating,duration,director_en,country_en,listed_in_en
Movie,2019,TV-PG,90,"[325, 1750]","[45, 54, 134, 159]","[17, 31]"
Movie,2016,TV-MA,94,[0],[7],[29]
Movie,2017,TV-14,99,[2718],[54],[26]
Movie,2014,R,110,[3037],"[60, 85, 102, 129]","[13, 15, 33]"
Movie,2017,TV-MA,60,"[210, 785]",[119],[29]
Movie,2014,R,90,[1703],"[27, 54, 92, 139]","[13, 34]"
Movie,2017,TV-MA,78,[1778],[0],[29]
Movie,2015,R,95,[1387],"[65, 102, 139, 160]","[2, 8, 34]"
Movie,2009,TV-Y7,58,[0],[0],[17]
Movie,2013,TV-Y7,62,"[2286, 2787]",[0],[17]
Movie,2016,TV-Y,65,"[2286, 2787]",[0],[17]
Movie,2012,TV-Y7,61,[2088],[0],[17]
Movie,2017,TV-Y7,65,[2088],[0],[17]
Movie,2010,TV-Y7,58,[0],[0],[17]
Movie,2013,TV-Y7,60,"[2286, 2787]",[0],[17]
Movie,2015,NR,135,[2308],"[59, 160]","[2, 21, 28]"
Movie,2014,TV-14,98,[388],[54],"[24, 26, 28]"
Movie,2015,R,96,[3077],"[59, 160]","[8, 31, 34]"
Movie,2015,TV-MA,79,[2482],"[54, 95]",[20]
Movie,2014,PG-13,113,[2747],[54],"[13, 25]"
Movie,2015,R,90,[596],[54],"[23, 28]"
Movie,2015,NR,80,[1313],[54],"[23, 24, 28]"
Movie,2018,TV-MA,77,[3527],"[1, 54]",[20]
Movie,2011,TV-MA,112,[728],[99],"[8, 25]"
Movie,2018,TV-PG,106,"[463, 1341]","[75, 85, 102]","[15, 17, 31]"
Movie,2018,PG-13,106,[2495],[54],"[24, 26]"
Movie,2018,TV-MA,102,[1459],"[49, 102, 139]","[8, 13, 23]"
Movie,2016,R,114,[2913],"[32, 49]","[8, 23, 28]"
Movie,2019,TV-MA,125,[1012],[86],"[8, 13, 23]"
Movie,2018,TV-14,142,[2257],[0],"[2, 26, 28]"
Movie,2018,TV-14,133,[1843],[86],"[8, 26]"
Movie,2019,TV-14,100,[654],[0],"[8, 24, 26]"
Movie,2015,R,86,"[64, 1984]",[54],"[28, 31, 34]"
Movie,2014,TV-14,146,[1023],[86],"[2, 8, 26]"
Movie,2015,TV-MA,79,"[1131, 2151]",[7],"[23, 28]"
Movie,2015,TV-PG,102,[3235],[7],[20]
Movie,2019,TV-G,10,[0],[0],[20]
Movie,2012,TV-14,122,[74],"[54, 85]","[8, 24, 26]"
Movie,2009,TV-14,126,[3320],[99],"[8, 24, 26]"
Movie,2014,TV-14,116,[74],[99],"[8, 24, 26]"
Movie,2016,TV-PG,135,[3396],[99],"[8, 23, 24]"
Movie,2009,TV-MA,125,"[132, 2895, 2932, 3190, 3396]",[99],"[8, 25]"
Movie,2004,TV-MA,96,"[132, 3396]",[99],"[8, 25]"
Movie,2011,TV-MA,130,[686],[99],"[8, 26]"
Movie,2016,TV-14,98,[2528],[54],"[2, 26]"
Movie,2017,TV-MA,70,[1593],[54],[29]
Movie,2016,TV-14,128,[1140],[56],"[8, 23, 28]"
Movie,2017,TV-MA,88,[273],[154],[25]
Movie,2019,PG,108,[1137],[54],"[23, 24]"
Movie,2019,TV-14,93,[2377],[86],"[2, 8, 26]"
Movie,2018,PG-13,135,[1133],[54],"[15, 34]"
Movie,2015,R,88,[172],"[7, 32]","[8, 24, 26]"
Movie,2019,TV-MA,64,[2073],[7],[29]
Movie,2012,PG,107,[411],"[54, 139]","[2, 17]"
Movie,2017,TV-MA,130,[863],[135],"[8, 23]"
Movie,2016,TV-MA,92,"[1379, 3438]","[8, 102]",[20]
Movie,2018,TV-MA,96,[561],"[7, 102]",[34]
Movie,2010,NR,112,[397],"[46, 102]","[8, 34]"
Movie,2018,TV-MA,111,[2584],[89],"[8, 23, 28]"
Movie,2017,TV-MA,103,[2835],[54],"[13, 25]"
Movie,2017,TV-14,40,[3510],[54],[20]
Movie,2017,TV-14,103,[3030],[54],"[23, 24]"
Movie,2017,TV-14,85,[2797],[0],"[8, 20]"
Movie,2015,TV-Y7,72,[722],[54],"[17, 27]"
Movie,2019,TV-G,45,[2453],[0],"[8, 20]"
Movie,2019,R,89,[1541],"[8, 28, 32, 130, 160]","[13, 33]"
Movie,2019,TV-PG,90,[2453],[0],"[8, 23]"
Movie,2012,TV-14,126,[3035],[124],"[8, 23]"
Movie,2018,TV-MA,130,[3042],[75],"[8, 15, 34]"
Movie,2018,TV-MA,126,[1530],[54],"[2, 34]"
Movie,2018,TV-PG,24,[1078],[54],[20]
Movie,2015,TV-PG,127,[2750],[124],"[8, 24, 26]"
Movie,2018,TV-MA,108,[688],[124],"[8, 25]"
Movie,2013,TV-14,163,[2995],[124],"[8, 23, 24]"
Movie,2018,TV-MA,117,"[497, 3335]",[82],"[8, 20]"
Movie,2016,TV-14,106,[1688],"[88, 139]",[20]
Movie,2018,TV-PG,102,[2217],[46],"[8, 26]"
Movie,2019,TV-MA,116,[1524],[54],"[13, 15, 23]"
Movie,2019,TV-MA,42,"[218, 286, 443, 1283, 1565, 2068, 2503, 2541, 2570, 3507]",[54],"[15, 27, 35]"
Movie,2016,TV-14,95,[114],[144],"[8, 23, 28]"
Movie,2015,TV-MA,104,[987],"[59, 140]","[8, 23, 28]"
Movie,2000,TV-PG,75,"[644, 3251]",[54],"[2, 9, 17]"
Movie,2019,TV-14,133,[2969],[86],"[24, 33]"
Movie,2013,PG-13,108,[3192],"[45, 144]","[2, 8, 34]"
